,Airline,Source,Destination,Day,Total_Stops,Additional_Info,Route,Dep_Time,Duration,Month,Price
0,3,0,5,3,3,2,6,149,170,3,3897.0
1,1,3,0,2,1,2,23,17,445,1,7662.0
2,4,2,1,0,1,2,45,47,1140,9,13882.0
3,3,3,0,4,0,2,27,114,325,12,6218.0
4,3,0,5,4,0,2,9,103,285,1,13302.0
5,6,3,0,1,3,2,14,45,145,6,3873.0
6,4,0,5,5,0,0,1,119,930,12,11087.0
7,4,0,5,4,0,2,1,36,1265,1,22270.0
8,4,0,5,5,0,0,1,44,1530,12,11087.0
9,5,2,1,1,0,2,34,61,470,5,8625.0
10,1,2,1,3,0,2,33,51,795,1,8907.0
11,3,3,0,4,3,2,14,133,155,4,4174.0
12,1,1,4,1,3,2,53,64,135,6,4667.0
13,4,3,0,4,0,0,15,141,730,9,9663.0
14,3,3,0,6,3,2,14,107,155,4,4804.0
15,1,2,1,3,1,2,29,101,1595,3,14011.0
16,6,2,1,1,0,2,49,42,270,4,5830.0
17,4,2,1,0,0,0,34,78,1355,12,10262.0
18,1,2,1,0,1,2,35,132,1380,12,13381.0
19,4,2,1,1,0,0,34,97,1235,5,12898.0
20,2,2,1,1,0,2,34,80,310,6,19495.0
21,1,0,5,4,0,2,5,146,920,3,6955.0
22,3,0,2,1,3,2,6,7,170,3,3943.0
23,3,0,2,2,3,2,6,119,175,1,4823.0
24,4,3,0,6,0,0,15,119,800,6,7757.0
25,4,2,1,0,1,2,41,144,910,9,13292.0
26,3,2,1,3,0,2,46,145,345,1,8238.0
27,2,2,1,6,0,2,34,29,355,5,7682.0
28,7,0,2,5,3,2,6,51,170,6,4668.0
29,7,1,4,2,3,2,53,30,135,6,3687.0
30,7,1,4,5,3,2,53,30,135,6,3687.0
31,1,3,0,2,1,2,20,52,805,1,13227.0
32,3,0,2,5,3,2,6,7,170,6,4423.0
33,4,2,1,2,1,0,48,84,1320,6,10919.0
34,4,2,1,2,0,0,34,30,330,5,12373.0
35,3,2,1,4,0,2,34,56,625,6,5894.0
36,6,3,0,5,0,2,26,89,315,5,4649.0
37,1,3,0,2,3,2,14,81,150,5,6245.0
38,4,0,5,1,0,2,1,29,375,6,19225.0
39,4,2,1,6,0,2,34,30,715,3,14924.0
40,5,2,1,5,0,2,39,30,665,5,9646.0
41,1,0,5,0,0,2,1,26,510,3,8714.0
42,4,2,1,2,0,0,34,138,1325,5,12373.0
43,0,0,2,6,3,2,6,60,165,6,3383.0
44,5,2,1,4,0,2,34,45,720,3,13062.0
45,6,0,5,3,3,1,6,16,170,3,3527.0
46,3,0,2,1,3,2,6,7,170,5,3943.0
47,1,1,4,5,3,2,53,64,135,3,4667.0
48,1,3,0,6,0,2,21,120,965,5,6117.0
49,4,2,1,4,1,0,29,153,1195,6,11150.0
50,4,2,1,5,3,0,36,58,195,9,7202.0
51,4,3,0,2,0,2,19,49,1520,1,12121.0
52,3,0,5,3,3,2,6,149,170,3,4377.0
53,3,0,2,5,3,2,6,142,180,6,3943.0
54,0,0,2,1,3,2,6,155,170,3,4483.0
55,4,3,0,3,0,2,15,127,975,3,14231.0
56,1,0,5,4,1,2,0,43,905,1,17345.0
57,7,1,4,1,3,2,53,30,135,6,7414.0
58,5,2,1,6,0,2,34,120,390,6,8073.0
59,7,4,3,1,0,2,10,95,1505,6,12395.0
60,1,3,0,4,0,2,15,47,745,6,8366.0
61,1,2,1,1,0,2,47,20,1640,3,5117.0
62,5,2,1,6,0,2,34,42,615,3,12524.0
63,3,2,1,6,0,2,34,88,630,5,7191.0
64,7,1,4,0,3,2,53,30,135,5,3687.0
65,3,2,1,1,0,2,34,56,625,6,5894.0
66,7,0,2,6,3,2,6,51,170,4,5403.0
67,1,4,3,6,3,2,11,77,90,6,3625.0
68,1,2,1,5,1,2,32,18,800,5,10861.0
69,3,1,4,5,3,2,53,75,135,12,6297.0
70,4,4,3,3,3,2,11,30,85,1,5678.0
71,4,0,5,5,0,0,1,16,1590,9,9134.0
72,5,2,1,1,0,0,34,64,440,6,10791.0
73,4,2,1,1,1,2,29,153,810,6,12819.0
74,3,2,1,4,0,2,33,10,300,3,6893.0
75,7,0,5,5,3,2,6,52,165,9,7240.0
76,2,0,2,1,3,2,6,64,170,3,3898.0
77,3,4,3,1,3,2,11,23,90,3,4049.0
78,4,2,1,2,0,0,34,110,1145,6,10262.0
79,6,1,4,4,3,1,53,38,135,3,3332.0
80,4,3,0,0,0,0,15,141,890,9,10844.0
81,4,0,5,3,3,2,6,129,160,3,7229.0
82,4,3,0,6,0,2,15,24,1330,6,13941.0
83,3,2,1,4,0,2,34,61,575,6,5894.0
84,5,2,1,2,0,2,34,45,600,5,10197.0
85,4,0,5,1,0,0,1,79,1280,6,13712.0
86,3,2,1,1,0,2,47,3,325,6,5636.0
87,4,2,1,4,1,2,43,50,1125,6,13014.0
88,4,3,0,0,0,0,15,39,740,1,7064.0
89,4,3,0,0,0,0,19,134,1080,5,10703.0
90,5,2,1,1,0,2,39,74,555,5,9646.0
91,5,2,1,1,0,2,34,4,665,6,17057.0
92,4,0,5,5,0,2,1,104,1050,12,13817.0
93,1,2,1,1,1,2,32,18,800,6,13748.0
94,1,3,0,3,3,2,14,137,155,4,4880.0
95,3,1,4,0,3,2,53,12,145,6,3540.0
96,6,0,2,6,3,1,6,18,160,5,3257.0
97,4,0,2,6,3,0,6,128,180,3,6478.0
98,4,4,3,5,3,2,11,30,85,6,8040.0
99,4,2,1,0,1,2,30,130,995,12,14300.0
100,4,3,0,6,0,2,15,39,740,5,14781.0
101,4,3,0,0,0,2,15,130,735,9,14939.0
102,4,2,1,1,0,0,34,138,450,6,10262.0
103,1,3,0,4,0,2,26,84,1440,12,6528.0
104,1,0,2,2,3,2,6,21,165,1,6121.0
105,4,2,1,2,1,0,43,125,535,5,13029.0
106,5,2,1,6,0,2,34,64,430,3,11421.0
107,5,2,1,6,0,2,34,8,870,3,7574.0
108,1,2,1,4,1,2,44,70,1820,9,11596.0
109,4,2,1,0,1,2,29,153,1195,5,15129.0
110,4,0,5,1,0,2,1,79,900,3,13555.0
111,3,0,2,6,3,2,6,119,175,12,5780.0
112,7,3,0,4,0,2,19,133,765,12,9397.0
113,4,2,1,1,0,2,34,115,610,6,17024.0
114,2,2,1,4,0,2,34,29,355,6,5281.0
115,5,2,1,2,0,2,39,30,925,5,10348.0
116,1,2,1,1,0,2,47,108,965,6,12677.0
117,5,2,1,3,0,2,34,93,610,3,15147.0
118,7,0,2,0,3,2,6,29,160,12,4668.0
119,4,2,1,4,0,2,34,30,715,9,15554.0
120,6,0,2,6,3,2,6,18,160,9,3971.0
121,1,4,3,5,3,2,11,88,85,3,3100.0
122,4,3,0,6,0,0,15,130,845,6,9663.0
123,1,2,1,4,0,2,34,152,1215,1,27430.0
124,3,1,4,4,3,2,53,12,145,12,3540.0
125,1,3,0,5,1,2,13,66,1390,5,10676.0
126,4,3,0,0,0,2,15,79,1090,12,13044.0
127,4,3,0,6,0,2,15,130,960,6,14388.0
128,3,0,2,1,3,2,6,7,170,6,3943.0
129,3,1,4,6,3,2,53,86,140,3,3597.0
130,1,0,5,4,0,2,8,65,480,3,5932.0
131,4,2,1,2,0,0,34,62,1015,6,10262.0
132,7,2,1,4,3,2,36,85,190,12,6216.0
133,3,3,0,2,3,2,14,134,165,6,4804.0
134,5,2,1,5,0,2,34,62,840,5,14067.0
135,4,2,1,2,1,2,29,122,1430,5,15129.0
136,4,2,1,4,1,2,48,26,1300,6,13376.0
137,1,2,1,4,1,2,37,146,1275,6,10441.0
138,4,0,2,0,3,0,6,19,165,5,4030.0
139,4,2,1,3,0,2,34,36,650,3,17024.0
140,5,2,1,6,0,2,34,110,480,9,13017.0
141,2,3,0,4,0,2,15,154,495,6,6686.0
142,3,2,1,2,0,2,47,3,325,6,5636.0
143,3,2,1,0,0,2,39,33,515,9,6442.0
144,5,2,1,5,0,2,39,72,710,5,9486.0
145,4,3,0,5,0,0,15,130,1655,5,10844.0
146,4,2,1,6,1,0,30,130,505,3,15318.0
147,1,2,1,1,0,2,47,68,1255,3,5117.0
148,3,2,1,1,0,2,33,90,290,6,6147.0
149,5,2,1,0,0,2,34,69,490,9,7005.0
150,6,3,0,1,3,2,14,149,140,3,3873.0
151,4,2,1,4,1,0,31,117,1465,3,9270.0
152,2,0,2,4,3,2,6,64,170,6,3898.0
153,4,3,0,4,0,2,15,39,740,12,14781.0
154,4,3,0,0,0,0,15,130,735,5,8586.0
155,1,3,0,4,1,2,25,38,1415,9,10697.0
156,4,2,1,4,1,2,30,130,995,6,14300.0
157,3,0,5,3,3,2,6,119,170,3,8855.0
158,4,3,0,4,0,0,15,100,1545,12,10844.0
159,4,2,1,1,0,2,34,4,1570,6,17024.0
160,4,3,0,2,0,0,19,49,1730,1,9314.0
161,3,0,5,3,3,2,6,1,165,3,4777.0
162,1,3,0,0,0,2,12,66,1515,9,7662.0
163,3,2,1,4,0,2,39,27,560,9,6442.0
164,6,2,1,0,0,2,49,42,270,12,5264.0
165,4,2,1,1,0,0,34,71,925,5,12898.0
166,1,4,3,3,3,2,11,77,90,3,6092.0
167,6,0,2,5,3,2,6,18,160,5,3311.0
168,4,2,1,6,0,0,34,123,550,3,6540.0
169,3,0,2,1,3,2,6,2,165,5,3419.0
170,4,2,1,1,0,0,34,78,1355,3,5177.0
171,1,2,1,4,3,2,36,114,185,4,8246.0
172,4,3,0,0,0,2,19,49,690,9,14676.0
173,5,2,1,4,0,2,34,62,570,6,13587.0
174,4,3,0,6,0,0,15,141,730,6,9663.0
175,4,3,0,0,0,2,15,100,1055,12,13044.0
176,3,2,1,1,0,2,34,134,305,3,5073.0
177,7,3,0,5,0,2,19,105,1550,5,9345.0
178,4,3,0,6,0,0,15,79,1200,6,9663.0
179,5,2,1,5,0,2,34,36,780,5,14277.0
180,4,2,1,3,0,0,34,53,1105,1,10262.0
181,4,4,3,6,3,2,11,126,90,3,5678.0
182,5,2,1,6,0,2,34,97,570,5,13727.0
183,4,3,0,6,0,0,15,130,960,6,9663.0
184,3,1,4,4,3,2,53,86,140,12,3858.0
185,6,2,1,1,0,2,49,42,270,6,4812.0
186,3,2,1,4,0,2,46,145,345,6,5775.0
187,4,3,0,4,0,0,19,49,1450,6,10539.0
188,3,3,0,6,3,2,14,94,155,3,4804.0
189,0,0,2,0,3,2,6,60,165,12,3383.0
190,3,0,5,3,0,2,7,67,295,3,8738.0
191,1,2,1,6,0,2,51,12,1535,3,7165.0
192,3,2,1,1,0,2,39,98,380,6,6412.0
193,4,0,2,4,3,2,6,119,185,6,8016.0
194,4,0,5,5,0,0,1,136,1120,12,11087.0
195,6,1,4,4,3,1,53,51,135,6,3543.0
196,4,3,0,0,0,2,15,100,730,12,12471.0
197,4,2,1,1,0,0,34,45,1165,6,10262.0
198,1,0,5,1,3,2,6,75,170,3,4441.0
199,5,2,1,6,0,2,34,30,505,3,12537.0
200,2,3,0,3,0,2,15,150,555,3,10091.0
201,1,0,2,6,3,2,6,140,170,3,6961.0
202,3,2,1,6,3,2,36,15,195,4,5013.0
203,1,2,1,2,3,2,36,11,170,5,6934.0
204,5,2,1,6,0,2,34,25,740,3,10877.0
205,4,0,2,4,3,2,6,91,175,4,7229.0
206,3,2,1,6,0,2,34,97,575,3,7048.0
207,7,0,2,4,3,2,6,105,155,6,4878.0
208,4,3,0,5,0,0,15,79,570,5,10844.0
209,4,2,1,2,1,2,29,153,1760,5,15129.0
210,3,0,2,4,3,2,6,0,175,12,3943.0
211,6,2,1,4,0,2,47,20,315,6,5583.0
212,5,2,1,4,0,2,39,30,545,6,9646.0
213,5,2,1,6,0,2,34,40,645,3,7677.0
214,3,2,1,3,0,2,33,11,295,1,6842.0
215,4,4,3,1,3,0,11,42,90,6,4995.0
216,7,3,0,0,0,2,19,31,700,9,9555.0
217,3,0,2,3,3,2,6,2,165,1,4077.0
218,4,0,2,4,3,2,6,91,175,12,7229.0
219,5,2,1,0,0,2,34,45,600,9,12192.0
220,1,0,2,6,3,2,6,53,165,12,5911.0
221,1,2,1,0,0,2,34,45,615,12,8372.0
222,4,4,3,1,3,0,11,31,85,3,4995.0
223,5,2,1,4,0,2,34,53,555,9,14323.0
224,4,2,1,0,1,2,43,14,1375,9,13014.0
225,1,2,1,4,1,2,35,83,1730,6,13591.0
226,4,2,1,3,1,2,41,13,2245,3,18799.0
227,3,0,2,2,3,2,6,154,170,4,3943.0
228,6,4,3,5,3,1,11,16,90,5,1965.0
229,4,4,3,1,3,0,11,55,90,5,4995.0
230,1,3,0,3,0,2,15,103,1540,3,14641.0
231,1,3,0,6,3,2,14,137,155,12,4460.0
232,1,2,1,2,0,2,34,71,375,5,10191.0
233,4,2,1,5,0,0,34,4,1050,9,13843.0
234,3,2,1,2,0,2,46,145,345,1,6349.0
235,0,3,0,2,3,2,14,55,155,1,4409.0
236,4,2,1,1,0,2,34,115,1530,6,17024.0
237,5,2,1,2,0,2,34,30,835,5,13727.0
238,3,0,5,0,3,2,6,117,175,3,8855.0
239,5,2,1,1,0,2,34,42,615,6,12524.0
240,4,0,5,1,0,2,1,64,520,3,13555.0
241,4,3,0,4,0,0,15,24,330,6,10844.0
242,5,2,1,0,0,2,34,45,720,9,13587.0
243,6,1,4,0,3,1,53,51,135,12,3543.0
244,7,1,4,1,3,2,53,30,135,3,4842.0
245,3,0,2,6,3,2,6,154,170,4,3943.0
246,4,2,1,0,0,0,34,123,550,9,10577.0
247,3,2,1,6,0,2,34,56,625,5,6979.0
248,7,1,4,4,3,2,53,111,140,6,11982.0
249,6,2,1,4,0,2,49,42,270,6,5264.0
250,7,2,1,3,3,2,36,19,190,3,8001.0
251,1,2,1,3,1,2,29,127,1410,1,10651.0
252,4,3,0,0,0,0,15,100,1640,5,10844.0
253,5,2,1,6,0,2,39,51,755,3,6601.0
254,1,2,1,4,0,2,34,120,1455,3,6587.0
255,6,4,3,4,3,2,11,73,80,3,3173.0
256,1,0,2,4,3,2,6,53,165,9,5228.0
257,4,0,2,0,3,0,6,31,180,6,5769.0
258,4,2,1,4,0,2,34,36,660,6,14714.0
259,4,2,1,6,1,2,43,14,810,3,13014.0
260,3,0,2,6,3,2,6,147,170,3,3359.0
261,2,0,5,3,3,2,6,138,175,3,6722.0
262,3,3,0,1,3,2,14,49,165,3,4462.0
263,3,2,1,5,0,2,39,9,675,9,6171.0
264,1,3,0,5,1,2,24,17,875,5,12303.0
265,5,2,1,4,0,2,34,64,835,3,7695.0
266,3,2,1,1,0,2,34,61,845,6,5684.0
267,1,3,0,0,0,2,15,103,905,12,8366.0
268,1,1,4,4,3,2,53,64,135,1,19630.0
269,4,0,5,1,0,0,1,79,900,6,13502.0
270,4,3,0,2,0,2,15,141,775,1,14781.0
271,5,2,1,0,0,2,39,31,540,12,6513.0
272,1,2,1,3,0,2,34,29,735,1,9929.0
273,5,2,1,4,1,2,42,112,460,6,18275.0
274,1,2,1,6,0,2,47,20,1640,9,4487.0
275,3,4,3,0,3,2,11,143,85,3,2754.0
276,1,4,3,6,3,2,11,22,80,3,2575.0
277,6,3,0,0,0,2,22,96,330,12,8224.0
278,1,2,1,5,0,2,33,135,705,9,8991.0
279,3,2,1,1,3,2,36,15,195,6,5000.0
280,4,3,0,0,0,0,15,119,1495,12,8529.0
281,1,2,1,3,0,2,47,20,1640,3,14042.0
282,4,0,2,0,3,0,6,60,175,5,4030.0
283,4,3,0,4,0,0,15,119,1025,6,10844.0
284,3,3,0,6,3,2,14,144,160,6,4804.0
285,5,2,1,1,0,0,34,110,480,5,7308.0
286,3,0,2,4,3,2,6,104,180,12,4823.0
287,4,2,1,1,0,0,34,45,1655,6,10262.0
288,4,2,1,1,0,0,34,138,450,5,12898.0
289,1,0,5,5,1,2,2,109,1375,12,12778.0
290,3,2,1,3,0,2,34,8,515,3,14871.0
291,1,2,1,4,1,2,52,75,1795,3,8708.0
292,4,3,0,4,0,0,15,130,1335,6,10844.0
293,6,4,3,1,3,2,11,16,80,6,4129.0
294,3,3,0,2,3,2,14,144,160,5,4804.0
295,4,0,2,6,3,2,6,38,180,6,7229.0
296,4,0,5,4,0,0,1,29,730,3,7832.0
297,6,1,4,1,3,2,53,48,155,3,3859.0
298,5,2,1,4,0,2,34,32,705,6,9001.0
299,7,0,2,4,3,2,6,105,155,9,4878.0
300,3,4,3,5,3,2,11,5,90,3,2754.0
301,7,0,2,4,3,2,6,29,160,6,4668.0
302,0,3,0,4,3,2,14,55,155,12,5216.0
303,4,2,1,4,1,0,43,14,1375,6,10368.0
304,3,2,1,5,1,2,40,25,880,9,8146.0
305,4,2,1,6,0,2,34,71,925,3,12242.0
306,4,0,5,0,0,0,1,36,435,3,9134.0
307,1,2,1,4,1,2,40,74,1210,6,10939.0
308,1,2,1,4,1,2,37,57,1245,6,11753.0
309,6,3,0,6,3,2,14,106,150,4,4174.0
310,4,3,0,5,0,0,15,130,1430,5,10844.0
311,4,2,1,6,0,2,34,97,1620,3,14714.0
312,4,3,0,0,0,0,15,24,330,12,9899.0
313,3,2,1,3,0,2,34,46,710,3,14871.0
314,3,1,4,1,3,2,53,75,135,6,7295.0
315,1,2,1,4,1,2,43,118,1470,6,13465.0
316,6,1,4,5,3,1,53,111,140,5,3543.0
317,5,2,1,4,0,2,34,120,390,6,7198.0
318,4,2,1,3,0,0,34,36,1225,1,10262.0
319,3,3,0,0,3,2,14,92,155,3,4148.0
320,4,0,2,4,3,2,6,91,175,6,8016.0
321,4,2,1,0,0,0,34,151,335,9,10262.0
322,6,3,0,2,3,1,14,87,150,6,3841.0
323,4,0,5,5,0,2,8,51,885,12,11507.0
324,4,3,0,2,0,2,15,39,740,1,14781.0
325,4,2,1,1,0,2,34,110,1530,5,16079.0
326,4,2,1,1,0,0,34,151,335,5,12898.0
327,5,2,1,1,0,2,34,32,705,6,15353.0
328,3,0,5,3,3,2,6,117,175,3,7303.0
329,6,3,0,3,0,2,26,89,340,3,6197.0
330,1,3,0,0,0,2,12,46,245,9,8996.0
331,3,2,1,4,0,2,39,82,480,3,6528.0
332,2,0,2,6,3,2,6,138,165,9,4239.0
333,3,3,0,5,3,2,14,134,160,12,4148.0
334,6,0,2,0,3,2,6,141,175,5,3971.0
335,0,3,0,6,0,2,19,33,955,6,5192.0
336,4,2,1,6,1,2,29,76,1390,9,9483.0
337,4,2,1,6,1,2,44,64,440,3,18804.0
338,1,2,1,5,3,2,36,11,170,6,5201.0
339,4,2,1,1,0,2,34,62,450,5,16079.0
340,4,0,2,2,3,0,6,128,180,6,7229.0
341,5,2,1,1,0,2,34,111,465,5,6795.0
342,4,3,0,4,0,2,19,49,1520,9,10953.0
343,5,2,1,1,1,2,41,89,625,6,15965.0
344,1,2,1,6,1,2,44,70,1820,9,9968.0
345,3,3,0,4,3,2,14,148,155,6,4804.0
346,4,2,1,1,0,2,34,53,540,5,16079.0
347,4,2,1,0,1,0,41,144,910,12,11507.0
348,1,3,0,0,1,2,16,47,1700,9,11542.0
349,4,0,2,6,3,2,6,111,180,4,7229.0
350,4,0,2,2,3,0,6,19,165,4,4544.0
351,3,2,1,6,0,2,33,11,295,5,6496.0
352,3,3,0,2,3,2,14,144,160,6,4804.0
353,1,0,5,4,0,2,3,59,1330,1,13439.0
354,4,2,1,6,0,0,34,115,610,3,6540.0
355,3,0,2,3,3,2,6,154,170,1,4591.0
356,3,0,5,1,0,2,7,99,260,3,4437.0
357,0,2,1,4,0,2,33,131,660,3,6151.0
358,4,0,2,0,3,0,6,111,180,6,7754.0
359,4,2,1,1,0,0,34,78,1355,6,10262.0
360,4,0,2,0,3,2,6,119,185,9,8016.0
361,6,3,0,3,3,1,14,28,160,3,4781.0
362,7,0,2,4,3,2,6,62,170,6,4668.0
363,1,0,5,1,0,2,8,65,1265,6,14594.0
364,4,3,0,3,0,2,15,104,710,3,14231.0
365,1,2,1,6,0,2,51,12,1535,5,8425.0
366,5,2,1,0,0,2,39,30,925,12,9646.0
367,3,1,4,3,3,2,53,85,145,3,7295.0
368,0,3,0,6,0,2,12,27,220,9,5162.0
369,3,0,5,5,3,2,6,117,175,9,6860.0
370,7,2,1,1,3,2,36,19,190,4,6216.0
371,0,3,0,0,0,2,19,33,710,5,5192.0
372,3,0,2,6,3,2,6,130,170,9,4823.0
373,6,0,2,1,3,1,6,48,170,3,3919.0
374,3,4,3,6,3,2,11,121,90,3,2754.0
375,5,2,1,4,0,2,34,32,690,9,9315.0
376,5,2,1,6,0,2,34,53,530,3,11667.0
377,4,3,0,0,0,0,15,39,1215,12,6224.0
378,1,3,0,3,1,2,17,47,1210,3,13349.0
379,4,0,5,1,0,0,1,104,965,3,11087.0
380,5,2,1,1,0,2,34,71,755,6,15603.0
381,4,2,1,4,1,2,43,125,1025,9,15129.0
382,3,0,2,6,3,2,6,104,180,9,4823.0
383,7,3,0,2,0,2,19,31,930,1,8452.0
384,5,2,1,4,0,2,34,32,690,6,12524.0
385,6,1,4,6,3,2,53,111,140,3,3384.0
386,4,2,1,3,0,0,34,123,1425,1,10262.0
387,6,4,3,5,3,1,11,74,90,6,1965.0
388,3,3,0,2,3,2,14,148,155,5,4804.0
389,4,2,1,1,0,2,34,115,1485,5,16079.0
390,4,2,1,3,1,2,41,144,1295,1,13292.0
391,0,2,1,4,0,2,33,35,330,9,6751.0
392,1,2,1,6,0,2,34,29,735,5,8669.0
393,3,2,1,3,0,2,34,110,485,3,14871.0
394,4,2,1,5,0,0,34,78,300,5,12898.0
395,6,0,2,4,3,1,6,48,170,6,3919.0
396,5,2,1,4,0,2,34,69,385,1,36983.0
397,3,1,4,6,3,2,53,126,140,3,3597.0
398,1,0,5,5,3,2,6,105,165,9,10741.0
399,1,3,0,4,1,2,17,103,765,6,11432.0
400,4,0,5,5,0,0,1,119,950,12,11087.0
401,4,2,1,6,1,2,41,49,1620,3,13292.0
402,1,2,1,2,2,2,50,12,1585,6,10493.0
403,2,0,5,5,3,2,6,34,175,9,7631.0
404,1,2,1,4,1,2,35,27,1490,6,13381.0
405,4,3,0,4,0,2,15,130,520,6,13731.0
406,1,2,1,5,1,2,32,18,1545,5,11911.0
407,3,0,2,4,3,2,6,154,170,4,4591.0
408,5,2,1,6,0,2,34,71,375,3,14848.0
409,5,2,1,0,0,2,34,42,630,12,8266.0
410,1,2,1,2,1,2,38,107,1560,5,12392.0
411,4,3,0,0,0,2,15,119,1025,12,13044.0
412,4,2,1,5,0,0,34,30,1280,5,12898.0
413,4,2,1,4,0,2,34,151,335,3,12242.0
414,3,0,2,2,3,2,6,54,170,5,3943.0
415,7,3,0,3,0,2,19,133,1550,3,11105.0
416,4,3,0,4,0,2,15,141,730,12,14388.0
417,4,2,1,2,1,2,43,125,1025,5,13014.0
418,5,2,1,1,0,2,34,55,510,6,15411.0
419,4,2,1,5,0,2,34,127,1385,9,16289.0
420,3,2,1,6,0,2,39,27,560,5,6442.0
421,4,3,0,2,0,0,15,39,475,5,10844.0
422,4,4,3,2,3,2,11,55,90,5,5678.0
423,3,0,2,6,3,2,6,154,170,12,6906.0
424,6,1,4,5,3,1,53,51,135,5,3543.0
425,4,2,1,4,0,2,34,45,600,6,14714.0
426,8,0,5,3,3,2,6,97,155,3,11793.0
427,5,2,1,6,0,2,34,62,465,5,14323.0
428,6,0,2,6,3,2,6,141,175,9,3971.0
429,7,3,0,6,0,2,19,133,1580,6,8452.0
430,7,0,2,6,3,2,6,29,160,12,5403.0
431,5,2,1,4,0,2,34,53,660,9,13727.0
432,1,3,0,0,1,2,18,53,1165,1,12639.0
433,4,0,2,4,3,0,6,91,175,4,5198.0
434,7,0,2,3,3,2,6,125,165,1,4878.0
435,4,2,1,2,0,0,34,127,1395,5,12373.0
436,5,2,1,3,0,0,39,31,540,3,8552.0
437,7,2,1,3,3,2,36,85,190,4,6741.0
438,5,2,1,6,0,2,34,69,385,9,6481.0
439,5,2,1,4,0,2,34,56,520,6,7354.0
440,1,0,2,3,3,2,6,140,170,4,5228.0
441,4,3,0,4,0,0,15,39,740,12,10844.0
442,3,2,1,2,0,2,39,27,320,5,6347.0
443,1,0,5,0,0,2,7,37,240,3,5013.0
444,4,3,0,0,0,0,15,119,585,9,9663.0
445,3,0,2,5,3,2,6,117,175,6,4823.0
446,1,2,1,1,1,2,35,104,1580,6,13381.0
447,6,1,4,3,3,1,53,51,135,1,3543.0
448,4,3,0,6,0,0,15,119,585,5,9663.0
449,4,3,0,0,0,0,15,119,1495,1,7064.0
450,4,2,1,0,0,0,34,30,715,9,10262.0
451,1,2,1,3,1,2,37,57,500,1,13013.0
452,4,2,1,4,1,2,29,122,1045,6,15339.0
453,2,0,2,4,3,2,6,64,170,4,4937.0
454,3,2,1,4,0,2,39,10,425,6,6818.0
455,1,2,1,2,1,2,37,146,1275,5,10441.0
456,4,2,1,1,0,0,34,78,300,3,5177.0
457,3,1,4,4,3,2,53,63,145,6,3858.0
458,3,3,0,2,0,2,28,139,315,5,6534.0
459,5,2,1,2,0,2,34,55,910,6,6795.0
460,5,2,1,6,0,2,34,32,705,3,9736.0
461,4,0,2,2,3,2,6,128,180,1,7229.0
462,6,2,1,6,0,2,33,113,295,4,4957.0
463,3,0,5,5,3,2,6,19,165,9,7648.0
464,6,3,0,2,3,2,14,87,150,6,3873.0
465,4,3,0,4,0,2,15,119,585,12,14388.0
466,3,3,0,1,3,2,14,107,160,6,5618.0
467,5,2,1,0,0,2,34,120,390,9,7408.0
468,0,2,1,3,0,2,33,102,330,3,13774.0
469,7,0,2,5,3,2,6,29,160,3,4668.0
470,4,2,1,4,1,2,52,116,2045,3,13082.0
471,1,2,1,6,0,2,34,6,925,3,8669.0
472,3,2,1,1,0,2,34,97,570,6,6316.0
473,4,2,1,1,0,0,34,149,365,6,12583.0
474,7,0,5,5,3,2,6,98,160,9,7923.0
475,2,2,1,3,0,2,34,29,350,3,7378.0
476,7,0,2,6,3,2,6,125,165,3,4878.0
477,4,3,0,2,0,0,15,100,1640,5,10844.0
478,4,0,2,1,3,2,6,38,180,3,7229.0
479,6,2,1,5,0,2,47,20,315,5,6297.0
480,4,3,0,0,0,0,15,130,960,12,8529.0
481,5,2,1,2,0,2,34,78,420,5,13727.0
482,6,3,0,0,0,2,28,41,520,5,6643.0
483,5,2,1,4,0,2,34,53,540,9,10197.0
484,6,3,0,3,3,2,14,149,140,4,4911.0
485,3,1,4,1,3,2,53,12,140,6,6482.0
486,4,0,5,4,0,2,1,44,380,1,26890.0
487,3,3,0,2,0,2,21,124,265,5,3717.0
488,3,1,4,3,3,2,53,74,140,1,3597.0
489,1,0,5,1,1,2,4,59,665,3,10846.0
490,1,0,5,4,0,2,3,17,1015,1,14069.0
491,4,2,1,0,0,0,34,151,825,1,5177.0
492,1,2,1,1,1,2,48,18,1545,6,14641.0
493,3,2,1,4,0,2,39,41,835,6,6442.0
494,1,2,1,4,0,2,33,111,315,3,5704.0
495,4,3,0,6,0,0,15,79,1155,6,9663.0
496,4,2,1,4,0,2,34,138,450,6,14714.0
497,4,2,1,0,0,0,34,53,540,1,5406.0
498,7,3,0,6,0,2,19,133,1440,5,8610.0
